species,assembly_type,software,field,operator,value,special_field
Enterobacter hormaechei,all,Checkm,Marker lineage,regex,^Enterobacter hormaechei,species_field
Enterobacter hormaechei,all,Quast,GC (%),<=,55.77,
Enterobacter hormaechei,all,Quast,GC (%),>=,54.28,
Enterobacter hormaechei,all,Quast,Ns per 100 kbp,<=,1000,
Enterobacter hormaechei,all,Quast,Total length (>= 0 bp),<=,5700000,
Enterobacter hormaechei,all,Quast,Total length (>= 0 bp),>=,4500000,
Enterobacter hormaechei,all,Speciator,confidence,regex,^good$,
Enterobacter hormaechei,all,Speciator,genusName,regex,^Enterobacter,
Enterobacter hormaechei,all,Speciator,speciesName,regex,^Enterobacter hormaechei,species_field
Enterobacter hormaechei,all,Sylph,number_of_genomes,=,1,
Enterobacter hormaechei,all,Sylph,species_name,regex,^Enterobacter hormaechei,species_field
Enterobacter hormaechei,short,Ariba,percent,=,100,
Enterobacter hormaechei,short,Checkm,# contigs,<=,260,
Enterobacter hormaechei,short,Checkm,N50 (scaffolds),>=,68000,
Enterobacter hormaechei,short,Quast,# contigs (>= 0 bp),<=,260,
Enterobacter hormaechei,short,Quast,N50,>=,68000,
Enterobacter kobei,all,Checkm,Completeness,>=,94,
Enterobacter kobei,all,Checkm,Contamination,<=,3,
Enterobacter kobei,all,Checkm,GC,<=,55.44,
Enterobacter kobei,all,Checkm,GC,>=,53.84,
Enterobacter kobei,all,Checkm,Genome size (bp),<=,5900000,
Enterobacter kobei,all,Checkm,Genome size (bp),>=,4600000,
Enterobacter kobei,all,Checkm,Marker lineage,regex,^Enterobacter kobei,species_field
Enterobacter kobei,all,Quast,GC (%),<=,55.44,
Enterobacter kobei,all,Quast,GC (%),>=,53.84,
Enterobacter kobei,all,Quast,Ns per 100 kbp,<=,1000,
Enterobacter kobei,all,Quast,Total length (>= 0 bp),<=,5900000,
Enterobacter kobei,all,Quast,Total length (>= 0 bp),>=,4600000,
Enterobacter kobei,all,Speciator,confidence,regex,^good$,
Enterobacter kobei,all,Speciator,genusName,regex,^Enterobacter,
Enterobacter kobei,all,Speciator,speciesName,regex,^Enterobacter kobei,species_field
Enterobacter kobei,all,Sylph,number_of_genomes,=,1,
Enterobacter kobei,all,Sylph,species_name,regex,^Enterobacter kobei,species_field
Enterobacter kobei,short,Ariba,percent,=,100,
Enterobacter kobei,short,Checkm,# contigs,<=,330,
Enterobacter kobei,short,Checkm,N50 (scaffolds),>=,67000,
Enterobacter kobei,short,Quast,# contigs (>= 0 bp),<=,330,
Enterobacter kobei,short,Quast,N50,>=,67000,
Enterococcus faecalis,all,Checkm,Completeness,>=,95,
Enterococcus faecalis,all,Checkm,Contamination,<=,3,
Enterococcus faecalis,all,Checkm,GC,<=,37.81,
Enterococcus faecalis,all,Checkm,GC,>=,36.89,
Enterococcus faecalis,all,Checkm,Genome size (bp),<=,3600000,
Enterococcus faecalis,all,Checkm,Genome size (bp),>=,2600000,
Enterococcus faecalis,all,Checkm,Marker lineage,regex,^Enterococcus faecalis,species_field
Enterococcus faecalis,all,Quast,GC (%),<=,37.81,
Enterococcus faecalis,all,Quast,GC (%),>=,36.89,
Enterococcus faecalis,all,Quast,Ns per 100 kbp,<=,1000,
Enterococcus faecalis,all,Quast,Total length (>= 0 bp),<=,3600000,
Enterococcus faecalis,all,Quast,Total length (>= 0 bp),>=,2600000,
Enterococcus faecalis,all,Speciator,confidence,regex,^good$,
Enterococcus faecalis,all,Speciator,genusName,regex,^Enterococcus,
Enterococcus faecalis,all,Speciator,speciesName,regex,^Enterococcus faecalis,species_field
Enterococcus faecalis,all,Sylph,number_of_genomes,=,1,
Enterococcus faecalis,all,Sylph,species_name,regex,^Enterococcus faecalis,species_field
Enterococcus faecalis,short,Ariba,percent,=,100,
Enterococcus faecalis,short,Checkm,# contigs,<=,220,
Enterococcus faecalis,short,Checkm,N50 (scaffolds),>=,51000,
Enterococcus faecalis,short,Quast,# contigs (>= 0 bp),<=,220,
Enterococcus faecalis,short,Quast,N50,>=,51000,
Enterococcus faecium,all,Checkm,Completeness,>=,95,
Enterococcus faecium,all,Checkm,Contamination,<=,5,
Enterococcus faecium,all,Checkm,GC,<=,38.56,
Enterococcus faecium,all,Checkm,GC,>=,37.39,
Enterococcus faecium,all,Checkm,Genome size (bp),<=,3500000,
Enterococcus faecium,all,Checkm,Genome size (bp),>=,2400000,
Enterococcus faecium,all,Checkm,Marker lineage,regex,^Enterococcus faecium,species_field
Enterococcus faecium,all,Quast,GC (%),<=,38.56,
Enterococcus faecium,all,Quast,GC (%),>=,37.39,
Enterococcus faecium,all,Quast,Ns per 100 kbp,<=,1000,
Enterococcus faecium,all,Quast,Total length (>= 0 bp),<=,3500000,
Enterococcus faecium,all,Quast,Total length (>= 0 bp),>=,2400000,
Enterococcus faecium,all,Speciator,confidence,regex,^good$,
Enterococcus faecium,all,Speciator,genusName,regex,^Enterococcus,
Enterococcus faecium,all,Speciator,speciesName,regex,^Enterococcus faecium,species_field
Enterococcus faecium,all,Sylph,number_of_genomes,=,1,
Enterococcus faecium,all,Sylph,species_name,regex,^Enterococcus faecium,species_field
Enterococcus faecium,short,Ariba,percent,=,100,
Enterococcus faecium,short,Checkm,# contigs,<=,540,
Enterococcus faecium,short,Checkm,N50 (scaffolds),>=,18000,
Enterococcus faecium,short,Quast,# contigs (>= 0 bp),<=,540,
Enterococcus faecium,short,Quast,N50,>=,18000,
Enterococcus lactis,all,Checkm,Completeness,>=,96,
Enterococcus lactis,all,Checkm,Contamination,<=,2,
Enterococcus lactis,all,Checkm,GC,<=,38.48,
Enterococcus lactis,all,Checkm,GC,>=,37.9,
Enterococcus lactis,all,Checkm,Genome size (bp),<=,3100000,
Enterococcus lactis,all,Checkm,Genome size (bp),>=,2500000,
Enterococcus lactis,all,Checkm,Marker lineage,regex,^Enterococcus lactis,species_field
Enterococcus lactis,all,Quast,GC (%),<=,38.48,
Enterococcus lactis,all,Quast,GC (%),>=,37.9,
Enterococcus lactis,all,Quast,Ns per 100 kbp,<=,1000,
Enterococcus lactis,all,Quast,Total length (>= 0 bp),<=,3100000,
Enterococcus lactis,all,Quast,Total length (>= 0 bp),>=,2500000,
Enterococcus lactis,all,Speciator,confidence,regex,^good$,
Enterococcus lactis,all,Speciator,genusName,regex,^Enterococcus,
Enterococcus lactis,all,Speciator,speciesName,regex,^Enterococcus lactis,species_field
Enterococcus lactis,all,Sylph,number_of_genomes,=,1,
Enterococcus lactis,all,Sylph,species_name,regex,^Enterococcus lactis,species_field
Enterococcus lactis,short,Ariba,percent,=,100,
Enterococcus lactis,short,Checkm,# contigs,<=,230,
Enterococcus lactis,short,Checkm,N50 (scaffolds),>=,36000,
Enterococcus lactis,short,Quast,# contigs (>= 0 bp),<=,230,
Enterococcus lactis,short,Quast,N50,>=,36000,
Escherichia coli,all,Checkm,Completeness,>=,95,
Escherichia coli,all,Checkm,Contamination,<=,16,
Escherichia coli,all,Checkm,GC,<=,51.13,
Escherichia coli,all,Checkm,GC,>=,50.09,
Escherichia coli,all,Checkm,Genome size (bp),<=,6300000,
Escherichia coli,all,Checkm,Genome size (bp),>=,4100000,
Escherichia coli,all,Checkm,Marker lineage,regex,^Escherichia coli,species_field
Escherichia coli,all,Quast,GC (%),<=,51.13,
Escherichia coli,all,Quast,GC (%),>=,50.09,
Escherichia coli,all,Quast,Ns per 100 kbp,<=,1000,
Escherichia coli,all,Quast,Total length (>= 0 bp),<=,6300000,
Escherichia coli,all,Quast,Total length (>= 0 bp),>=,4100000,
Escherichia coli,all,Speciator,confidence,regex,^good$,
Escherichia coli,all,Speciator,genusName,regex,^Escherichia,
Escherichia coli,all,Speciator,speciesName,regex,^Escherichia coli,species_field
Escherichia coli,all,Sylph,number_of_genomes,=,1,
Escherichia coli,all,Sylph,species_name,regex,^Escherichia coli,species_field
Escherichia coli,short,Ariba,percent,=,100,
Escherichia coli,short,Checkm,# contigs,<=,670,
Escherichia coli,short,Checkm,N50 (scaffolds),>=,20000,
Escherichia coli,short,Quast,# contigs (>= 0 bp),<=,670,
Escherichia coli,short,Quast,N50,>=,20000,
Francisella tularensis,all,Checkm,Completeness,>=,92,
Francisella tularensis,all,Checkm,Contamination,<=,4,
Francisella tularensis,all,Checkm,GC,<=,32.54,
Francisella tularensis,all,Checkm,GC,>=,32.14,
Francisella tularensis,all,Checkm,Genome size (bp),<=,2100000,
Francisella tularensis,all,Checkm,Genome size (bp),>=,1700000,
Francisella tularensis,all,Checkm,Marker lineage,regex,^Francisella tularensis,species_field
Francisella tularensis,all,Quast,GC (%),<=,32.54,
Francisella tularensis,all,Quast,GC (%),>=,32.14,
Francisella tularensis,all,Quast,Ns per 100 kbp,<=,1000,
Francisella tularensis,all,Quast,Total length (>= 0 bp),<=,2100000,
Francisella tularensis,all,Quast,Total length (>= 0 bp),>=,1700000,
Francisella tularensis,all,Speciator,confidence,regex,^good$,
Francisella tularensis,all,Speciator,genusName,regex,^Francisella,
Francisella tularensis,all,Speciator,speciesName,regex,^Francisella tularensis,species_field
Francisella tularensis,all,Sylph,number_of_genomes,=,1,
Francisella tularensis,all,Sylph,species_name,regex,^Francisella tularensis,species_field
Francisella tularensis,short,Ariba,percent,=,100,
Francisella tularensis,short,Checkm,# contigs,<=,170,
Francisella tularensis,short,Checkm,N50 (scaffolds),>=,20000,
Francisella tularensis,short,Quast,# contigs (>= 0 bp),<=,170,
Francisella tularensis,short,Quast,N50,>=,20000,
Haemophilus influenzae,all,Checkm,Completeness,>=,93,
Haemophilus influenzae,all,Checkm,Contamination,<=,6,
Haemophilus influenzae,all,Checkm,GC,<=,38.47,
Haemophilus influenzae,all,Checkm,GC,>=,37.77,
Haemophilus influenzae,all,Checkm,Genome size (bp),<=,2000000,
Haemophilus influenzae,all,Checkm,Genome size (bp),>=,1700000,
Haemophilus influenzae,all,Checkm,Marker lineage,regex,^Haemophilus influenzae,species_field
Haemophilus influenzae,all,Quast,GC (%),<=,38.47,
Haemophilus influenzae,all,Quast,GC (%),>=,37.77,
Haemophilus influenzae,all,Quast,Ns per 100 kbp,<=,1000,
Haemophilus influenzae,all,Quast,Total length (>= 0 bp),<=,2000000,
Haemophilus influenzae,all,Quast,Total length (>= 0 bp),>=,1700000,
Haemophilus influenzae,all,Speciator,confidence,regex,^good$,
Haemophilus influenzae,all,Speciator,genusName,regex,^Haemophilus,
Haemophilus influenzae,all,Speciator,speciesName,regex,^Haemophilus influenzae,species_field
Haemophilus influenzae,all,Sylph,number_of_genomes,=,1,
Haemophilus influenzae,all,Sylph,species_name,regex,^Haemophilus influenzae,species_field
Haemophilus influenzae,short,Ariba,percent,=,100,
Haemophilus influenzae,short,Checkm,# contigs,<=,100,
Haemophilus influenzae,short,Checkm,N50 (scaffolds),>=,30000,
Haemophilus influenzae,short,Quast,# contigs (>= 0 bp),<=,100,
Haemophilus influenzae,short,Quast,N50,>=,30000,
Helicobacter pylori,all,Checkm,Completeness,>=,95,
Helicobacter pylori,all,Checkm,Contamination,<=,2,
Helicobacter pylori,all,Checkm,GC,<=,39.31,
Helicobacter pylori,all,Checkm,GC,>=,38.42,
Helicobacter pylori,all,Checkm,Genome size (bp),<=,1800000,
Helicobacter pylori,all,Checkm,Genome size (bp),>=,1500000,
Helicobacter pylori,all,Checkm,Marker lineage,regex,^Helicobacter pylori,species_field
Helicobacter pylori,all,Quast,GC (%),<=,39.31,
Helicobacter pylori,all,Quast,GC (%),>=,38.42,
Helicobacter pylori,all,Quast,Ns per 100 kbp,<=,1000,
Helicobacter pylori,all,Quast,Total length (>= 0 bp),<=,1800000,
Helicobacter pylori,all,Quast,Total length (>= 0 bp),>=,1500000,
Helicobacter pylori,all,Speciator,confidence,regex,^good$,
Helicobacter pylori,all,Speciator,genusName,regex,^Helicobacter,
Helicobacter pylori,all,Speciator,speciesName,regex,^Helicobacter pylori,species_field
Helicobacter pylori,all,Sylph,number_of_genomes,=,1,
Helicobacter pylori,all,Sylph,species_name,regex,^Helicobacter pylori,species_field
Helicobacter pylori,short,Ariba,percent,=,100,
Helicobacter pylori,short,Checkm,# contigs,<=,140,
Helicobacter pylori,short,Checkm,N50 (scaffolds),>=,31000,
Helicobacter pylori,short,Quast,# contigs (>= 0 bp),<=,140,
Helicobacter pylori,short,Quast,N50,>=,31000,
Klebsiella aerogenes,all,Checkm,Completeness,>=,90,
Klebsiella aerogenes,all,Checkm,Contamination,<=,10,
Klebsiella aerogenes,all,Checkm,GC,<=,55.25,
Klebsiella aerogenes,all,Checkm,GC,>=,54.23,
Klebsiella aerogenes,all,Checkm,Genome size (bp),<=,6000000,
Klebsiella aerogenes,all,Checkm,Genome size (bp),>=,4900000,
Klebsiella aerogenes,all,Checkm,Marker lineage,regex,^Klebsiella aerogenes,species_field
Klebsiella aerogenes,all,Quast,GC (%),<=,55.25,
Klebsiella aerogenes,all,Quast,GC (%),>=,54.23,
Klebsiella aerogenes,all,Quast,Ns per 100 kbp,<=,1000,
Klebsiella aerogenes,all,Quast,Total length (>= 0 bp),<=,6000000,
Klebsiella aerogenes,all,Quast,Total length (>= 0 bp),>=,4900000,
Klebsiella aerogenes,all,Speciator,confidence,regex,^good$,
Klebsiella aerogenes,all,Speciator,genusName,regex,^Klebsiella,
Klebsiella aerogenes,all,Speciator,speciesName,regex,^Klebsiella aerogenes,species_field
Klebsiella aerogenes,all,Sylph,number_of_genomes,=,1,
Klebsiella aerogenes,all,Sylph,species_name,regex,^Klebsiella aerogenes,species_field
Klebsiella aerogenes,short,Ariba,percent,=,100,
Klebsiella aerogenes,short,Checkm,# contigs,<=,200,
Klebsiella aerogenes,short,Checkm,N50 (scaffolds),>=,78000,
Klebsiella aerogenes,short,Quast,# contigs (>= 0 bp),<=,200,
Klebsiella aerogenes,short,Quast,N50,>=,78000,
Klebsiella michiganensis,all,Checkm,Completeness,>=,95,
Klebsiella michiganensis,all,Checkm,Contamination,<=,4,
Klebsiella michiganensis,all,Checkm,GC,<=,56.19,
Klebsiella michiganensis,all,Checkm,GC,>=,55.04,
Klebsiella michiganensis,all,Checkm,Genome size (bp),<=,7000000,
Klebsiella michiganensis,all,Checkm,Genome size (bp),>=,5700000,
Klebsiella michiganensis,all,Checkm,Marker lineage,regex,^Klebsiella michiganensis,species_field
Klebsiella michiganensis,all,Quast,GC (%),<=,56.19,
Klebsiella michiganensis,all,Quast,GC (%),>=,55.04,
Klebsiella michiganensis,all,Quast,Ns per 100 kbp,<=,1000,
Klebsiella michiganensis,all,Quast,Total length (>= 0 bp),<=,7000000,
Klebsiella michiganensis,all,Quast,Total length (>= 0 bp),>=,5700000,
Klebsiella michiganensis,all,Speciator,confidence,regex,^good$,
Klebsiella michiganensis,all,Speciator,genusName,regex,^Klebsiella,
Klebsiella michiganensis,all,Speciator,speciesName,regex,^Klebsiella michiganensis,species_field
Klebsiella michiganensis,all,Sylph,number_of_genomes,=,1,
Klebsiella michiganensis,all,Sylph,species_name,regex,^Klebsiella michiganensis,species_field
Klebsiella michiganensis,short,Ariba,percent,=,100,
Klebsiella michiganensis,short,Checkm,# contigs,<=,380,
Klebsiella michiganensis,short,Checkm,N50 (scaffolds),>=,53000,
Klebsiella michiganensis,short,Quast,# contigs (>= 0 bp),<=,380,
Klebsiella michiganensis,short,Quast,N50,>=,53000,
Klebsiella oxytoca,all,Checkm,Completeness,>=,96,
Klebsiella oxytoca,all,Checkm,Contamination,<=,8,
Klebsiella oxytoca,all,Checkm,GC,<=,55.33,
Klebsiella oxytoca,all,Checkm,GC,>=,54.11,
Klebsiella oxytoca,all,Checkm,Genome size (bp),<=,6800000,
Klebsiella oxytoca,all,Checkm,Genome size (bp),>=,5300000,
Klebsiella oxytoca,all,Checkm,Marker lineage,regex,^Klebsiella oxytoca,species_field
Klebsiella oxytoca,all,Quast,GC (%),<=,55.33,
Klebsiella oxytoca,all,Quast,GC (%),>=,54.11,
Klebsiella oxytoca,all,Quast,Ns per 100 kbp,<=,1000,
Klebsiella oxytoca,all,Quast,Total length (>= 0 bp),<=,6800000,
Klebsiella oxytoca,all,Quast,Total length (>= 0 bp),>=,5300000,
Klebsiella oxytoca,all,Speciator,confidence,regex,^good$,
Klebsiella oxytoca,all,Speciator,genusName,regex,^Klebsiella,
Klebsiella oxytoca,all,Speciator,speciesName,regex,^Klebsiella oxytoca,species_field
Klebsiella oxytoca,all,Sylph,number_of_genomes,=,1,
Klebsiella oxytoca,all,Sylph,species_name,regex,^Klebsiella oxytoca,species_field
Klebsiella oxytoca,short,Ariba,percent,=,100,
Klebsiella oxytoca,short,Checkm,# contigs,<=,360,
Klebsiella oxytoca,short,Checkm,N50 (scaffolds),>=,64000,
Klebsiella oxytoca,short,Quast,# contigs (>= 0 bp),<=,360,
Klebsiella oxytoca,short,Quast,N50,>=,64000,
Klebsiella pneumoniae,all,Checkm,Completeness,>=,95,
Klebsiella pneumoniae,all,Checkm,Contamination,<=,5,
Klebsiella pneumoniae,all,Checkm,GC,<=,58.02,
Klebsiella pneumoniae,all,Checkm,GC,>=,55.89,
Klebsiella pneumoniae,all,Checkm,Genome size (bp),<=,6400000,
Klebsiella pneumoniae,all,Checkm,Genome size (bp),>=,4900000,
Klebsiella pneumoniae,all,Checkm,Marker lineage,regex,^Klebsiella pneumoniae,species_field
Klebsiella pneumoniae,all,Quast,GC (%),<=,58.02,
Klebsiella pneumoniae,all,Quast,GC (%),>=,55.89,
Klebsiella pneumoniae,all,Quast,Ns per 100 kbp,<=,1000,
Klebsiella pneumoniae,all,Quast,Total length (>= 0 bp),<=,6400000,
Klebsiella pneumoniae,all,Quast,Total length (>= 0 bp),>=,4900000,
Klebsiella pneumoniae,all,Speciator,confidence,regex,^good$,
Klebsiella pneumoniae,all,Speciator,genusName,regex,^Klebsiella,
Klebsiella pneumoniae,all,Speciator,speciesName,regex,^Klebsiella pneumoniae,species_field
Klebsiella pneumoniae,all,Sylph,number_of_genomes,=,1,
Klebsiella pneumoniae,all,Sylph,species_name,regex,^Klebsiella pneumoniae,species_field
Klebsiella pneumoniae,short,Ariba,percent,=,100,
Klebsiella pneumoniae,short,Checkm,# contigs,<=,350,
Klebsiella pneumoniae,short,Checkm,N50 (scaffolds),>=,58000,
Klebsiella pneumoniae,short,Quast,# contigs (>= 0 bp),<=,350,
Klebsiella pneumoniae,short,Quast,N50,>=,58000,
Klebsiella quasipneumoniae,all,Checkm,Completeness,>=,97,
Klebsiella quasipneumoniae,all,Checkm,Contamination,<=,3,
Klebsiella quasipneumoniae,all,Checkm,GC,<=,58.64,
Klebsiella quasipneumoniae,all,Checkm,GC,>=,56.49,
Klebsiella quasipneumoniae,all,Checkm,Genome size (bp),<=,6300000,
Klebsiella quasipneumoniae,all,Checkm,Genome size (bp),>=,4500000,
Klebsiella quasipneumoniae,all,Checkm,Marker lineage,regex,^Klebsiella quasipneumoniae,species_field
Klebsiella quasipneumoniae,all,Quast,GC (%),<=,58.64,
Klebsiella quasipneumoniae,all,Quast,GC (%),>=,56.49,
Klebsiella quasipneumoniae,all,Quast,Ns per 100 kbp,<=,1000,
Klebsiella quasipneumoniae,all,Quast,Total length (>= 0 bp),<=,6300000,
Klebsiella quasipneumoniae,all,Quast,Total length (>= 0 bp),>=,4500000,
Klebsiella quasipneumoniae,all,Speciator,confidence,regex,^good$,
Klebsiella quasipneumoniae,all,Speciator,genusName,regex,^Klebsiella,
Klebsiella quasipneumoniae,all,Speciator,speciesName,regex,^Klebsiella quasipneumoniae,species_field
Klebsiella quasipneumoniae,all,Sylph,number_of_genomes,=,1,
Klebsiella quasipneumoniae,all,Sylph,species_name,regex,^Klebsiella quasipneumoniae,species_field
Klebsiella quasipneumoniae,short,Ariba,percent,=,100,
Klebsiella quasipneumoniae,short,Checkm,# contigs,<=,390,
Klebsiella quasipneumoniae,short,Checkm,N50 (scaffolds),>=,33000,
Klebsiella quasipneumoniae,short,Quast,# contigs (>= 0 bp),<=,390,
Klebsiella quasipneumoniae,short,Quast,N50,>=,33000,
Klebsiella variicola,all,Checkm,Completeness,>=,98,
Klebsiella variicola,all,Checkm,Contamination,<=,3,
Klebsiella variicola,all,Checkm,GC,<=,58,
Klebsiella variicola,all,Checkm,GC,>=,55.5,
Klebsiella variicola,all,Checkm,Genome size (bp),<=,6500000,
Klebsiella variicola,all,Checkm,Genome size (bp),>=,5200000,
Klebsiella variicola,all,Checkm,Marker lineage,regex,^Klebsiella variicola,species_field
Klebsiella variicola,all,Quast,GC (%),<=,58,
Klebsiella variicola,all,Quast,GC (%),>=,55.5,
Klebsiella variicola,all,Quast,Ns per 100 kbp,<=,1000,
Klebsiella variicola,all,Quast,Total length (>= 0 bp),<=,6500000,
Klebsiella variicola,all,Quast,Total length (>= 0 bp),>=,5200000,
Klebsiella variicola,all,Speciator,confidence,regex,^good$,
Klebsiella variicola,all,Speciator,genusName,regex,^Klebsiella,
Klebsiella variicola,all,Speciator,speciesName,regex,^Klebsiella variicola,species_field
Klebsiella variicola,all,Sylph,number_of_genomes,=,1,
Klebsiella variicola,all,Sylph,species_name,regex,^Klebsiella variicola,species_field
Klebsiella variicola,short,Ariba,percent,=,100,
Klebsiella variicola,short,Checkm,# contigs,<=,320,
Klebsiella variicola,short,Checkm,N50 (scaffolds),>=,35000,
Klebsiella variicola,short,Quast,# contigs (>= 0 bp),<=,320,
Klebsiella variicola,short,Quast,N50,>=,35000,
Legionella pneumophila,all,Checkm,Completeness,>=,95,
Legionella pneumophila,all,Checkm,Contamination,<=,3,
Legionella pneumophila,all,Checkm,GC,<=,38.48,
Legionella pneumophila,all,Checkm,GC,>=,38.11,
Legionella pneumophila,all,Checkm,Genome size (bp),<=,3800000,
Legionella pneumophila,all,Checkm,Genome size (bp),>=,3200000,
Legionella pneumophila,all,Checkm,Marker lineage,regex,^Legionella pneumophila,species_field
Legionella pneumophila,all,Quast,GC (%),<=,38.48,
Legionella pneumophila,all,Quast,GC (%),>=,38.11,
Legionella pneumophila,all,Quast,Ns per 100 kbp,<=,1000,
Legionella pneumophila,all,Quast,Total length (>= 0 bp),<=,3800000,
Legionella pneumophila,all,Quast,Total length (>= 0 bp),>=,3200000,
Legionella pneumophila,all,Speciator,confidence,regex,^good$,
Legionella pneumophila,all,Speciator,genusName,regex,^Legionella,
Legionella pneumophila,all,Speciator,speciesName,regex,^Legionella pneumophila,species_field
Legionella pneumophila,all,Sylph,number_of_genomes,=,1,
Legionella pneumophila,all,Sylph,species_name,regex,^Legionella pneumophila,species_field
Legionella pneumophila,short,Ariba,percent,=,100,
Legionella pneumophila,short,Checkm,# contigs,<=,210,
Legionella pneumophila,short,Checkm,N50 (scaffolds),>=,50000,
Legionella pneumophila,short,Quast,# contigs (>= 0 bp),<=,210,
Legionella pneumophila,short,Quast,N50,>=,50000,
Listeria innocua,all,Checkm,Completeness,>=,95,
Listeria innocua,all,Checkm,Contamination,<=,2,
Listeria innocua,all,Checkm,GC,<=,37.57,
Listeria innocua,all,Checkm,GC,>=,37.19,
Listeria innocua,all,Checkm,Genome size (bp),<=,3100000,
Listeria innocua,all,Checkm,Genome size (bp),>=,2700000,
Listeria innocua,all,Checkm,Marker lineage,regex,^Listeria innocua,species_field
Listeria innocua,all,Quast,GC (%),<=,37.57,
Listeria innocua,all,Quast,GC (%),>=,37.19,
Listeria innocua,all,Quast,Ns per 100 kbp,<=,1000,
Listeria innocua,all,Quast,Total length (>= 0 bp),<=,3100000,
Listeria innocua,all,Quast,Total length (>= 0 bp),>=,2700000,
Listeria innocua,all,Speciator,confidence,regex,^good$,
Listeria innocua,all,Speciator,genusName,regex,^Listeria,
Listeria innocua,all,Speciator,speciesName,regex,^Listeria innocua,species_field
Listeria innocua,all,Sylph,number_of_genomes,=,1,
Listeria innocua,all,Sylph,species_name,regex,^Listeria innocua,species_field
Listeria innocua,short,Ariba,percent,=,100,
Listeria innocua,short,Checkm,# contigs,<=,180,
Listeria innocua,short,Checkm,N50 (scaffolds),>=,48000,
Listeria innocua,short,Quast,# contigs (>= 0 bp),<=,180,
Listeria innocua,short,Quast,N50,>=,48000,
Listeria monocytogenes,all,Checkm,Completeness,>=,96,
Listeria monocytogenes,all,Checkm,Contamination,<=,5,
Listeria monocytogenes,all,Checkm,GC,<=,38.3,
Listeria monocytogenes,all,Checkm,GC,>=,37.71,
Listeria monocytogenes,all,Checkm,Genome size (bp),<=,3300000,
Listeria monocytogenes,all,Checkm,Genome size (bp),>=,2800000,
Listeria monocytogenes,all,Checkm,Marker lineage,regex,^Listeria monocytogenes,species_field
Listeria monocytogenes,all,Quast,GC (%),<=,38.3,
Listeria monocytogenes,all,Quast,GC (%),>=,37.71,
Listeria monocytogenes,all,Quast,Ns per 100 kbp,<=,1000,
Listeria monocytogenes,all,Quast,Total length (>= 0 bp),<=,3300000,
Listeria monocytogenes,all,Quast,Total length (>= 0 bp),>=,2800000,
Listeria monocytogenes,all,Speciator,confidence,regex,^good$,
Listeria monocytogenes,all,Speciator,genusName,regex,^Listeria,
Listeria monocytogenes,all,Speciator,speciesName,regex,^Listeria monocytogenes,species_field
Listeria monocytogenes,all,Sylph,number_of_genomes,=,1,
Listeria monocytogenes,all,Sylph,species_name,regex,^Listeria monocytogenes,species_field
Listeria monocytogenes,short,Ariba,percent,=,100,
Listeria monocytogenes,short,Checkm,# contigs,<=,120,
Listeria monocytogenes,short,Checkm,N50 (scaffolds),>=,66000,
Listeria monocytogenes,short,Quast,# contigs (>= 0 bp),<=,120,
Listeria monocytogenes,short,Quast,N50,>=,66000,
Mannheimia haemolytica,all,Checkm,Completeness,>=,87,
Mannheimia haemolytica,all,Checkm,Contamination,<=,8,
Mannheimia haemolytica,all,Checkm,GC,<=,41.34,
Mannheimia haemolytica,all,Checkm,GC,>=,40.91,
Mannheimia haemolytica,all,Checkm,Genome size (bp),<=,2900000,
Mannheimia haemolytica,all,Checkm,Genome size (bp),>=,2300000,
Mannheimia haemolytica,all,Checkm,Marker lineage,regex,^Mannheimia haemolytica,species_field
Mannheimia haemolytica,all,Quast,GC (%),<=,41.34,
Mannheimia haemolytica,all,Quast,GC (%),>=,40.91,
Mannheimia haemolytica,all,Quast,Ns per 100 kbp,<=,1000,
Mannheimia haemolytica,all,Quast,Total length (>= 0 bp),<=,2900000,
Mannheimia haemolytica,all,Quast,Total length (>= 0 bp),>=,2300000,
Mannheimia haemolytica,all,Speciator,confidence,regex,^good$,
Mannheimia haemolytica,all,Speciator,genusName,regex,^Mannheimia,
Mannheimia haemolytica,all,Speciator,speciesName,regex,^Mannheimia haemolytica,species_field
Mannheimia haemolytica,all,Sylph,number_of_genomes,=,1,
Mannheimia haemolytica,all,Sylph,species_name,regex,^Mannheimia haemolytica,species_field
Mannheimia haemolytica,short,Ariba,percent,=,100,
Mannheimia haemolytica,short,Checkm,# contigs,<=,220,
Mannheimia haemolytica,short,Checkm,N50 (scaffolds),>=,26000,
Mannheimia haemolytica,short,Quast,# contigs (>= 0 bp),<=,220,
Mannheimia haemolytica,short,Quast,N50,>=,26000,
Moraxella catarrhalis,all,Checkm,Completeness,>=,98,
Moraxella catarrhalis,all,Checkm,Contamination,<=,1,
Moraxella catarrhalis,all,Checkm,GC,<=,41.76,
Moraxella catarrhalis,all,Checkm,GC,>=,41.22,
Moraxella catarrhalis,all,Checkm,Genome size (bp),<=,2100000,
Moraxella catarrhalis,all,Checkm,Genome size (bp),>=,1800000,
Moraxella catarrhalis,all,Checkm,Marker lineage,regex,^Moraxella catarrhalis,species_field
Moraxella catarrhalis,all,Quast,GC (%),<=,41.76,
Moraxella catarrhalis,all,Quast,GC (%),>=,41.22,
Moraxella catarrhalis,all,Quast,Ns per 100 kbp,<=,1000,
Moraxella catarrhalis,all,Quast,Total length (>= 0 bp),<=,2100000,
Moraxella catarrhalis,all,Quast,Total length (>= 0 bp),>=,1800000,
